Ethnicity,Year,Region,Gender,Age,Socio-economic classification,Household income,Value
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,27.3
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,24.5
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,24.4
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,29.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,25.5
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,25.5
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,19.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,?
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,17.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,?
